URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,BSOInspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),InspectorateName (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,Country (name),UPRN,SiteName,QABName (code),QABName (name),EstablishmentAccredited (code),EstablishmentAccredited (name),QABReport,CHNumber,MSOA (code),LSOA (code),FSM,AccreditationExpiryDate
125881,938,West Sussex,2119,Gossops Green Community First School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2004,2,Primary,5,8,1,No boarders,Not applicable,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Kidborough Road,,,Crawley,West Sussex,RH11 8HW,,,Mrs,Sylvia,Rogers,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000226,Crawley,E05012917,Gossops Green & North East Broadfield,E14000652,Crawley,C1,(England/Wales) Urban city and town,E10000032,525109,136037,Crawley 006,Crawley 006B,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006580,E01031565,,
125882,938,West Sussex,2120,Ifield First School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2004,2,Primary,5,8,1,No boarders,Not applicable,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Ifield Drive,Ifield,,Crawley,West Sussex,RH11 0EL,,,Mrs,C A,Hayler,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000226,Crawley,E05012918,Ifield,E14000652,Crawley,C1,(England/Wales) Urban city and town,E10000032,525014,136824,Crawley 006,Crawley 006D,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006580,E01031567,,
125883,938,West Sussex,2124,"Arunside School, Horsham",01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,01-01-1900,99,,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,420,2,No Special Classes,15-01-2026,413,213,200,11.40,0,Not applicable,,,Not applicable,,Not under a federation,,,10073862,,Not applicable,30-06-2026,Blackbridge Lane,,,Horsham,West Sussex,RH12 1RR,https://arunside.school,01403263919,Mrs,Donna,Jagger,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000227,Horsham,E05011817,Denne,E14001294,Horsham,UN1,Urban: Nearer to a major town or city,E10000032,516287,130543,Horsham 006,Horsham 006G,,,,,,999,,,,200004796057,,0,Not applicable,0,Not applicable,,,E02006593,E01035334,47,
125884,938,West Sussex,2128,Billingshurst Junior School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2010,2,Primary,7,11,1,No boarders,No Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,360,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Upper Station Road,,,Billingshurst,West Sussex,RH14 9RE,,,Mrs,Dee,Wood,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000227,Horsham,E05011812,Billingshurst,E14000753,Horsham,D1,(England/Wales) Rural town and fringe,E10000032,508597,125498,Horsham 010,Horsham 010B,,,,,,999,,,,10013791009,,0,Not applicable,0,Not applicable,,,E02006597,E01031612,,
125887,938,West Sussex,2133,Heron Way Primary School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,420,2,No Special Classes,15-01-2026,417,190,227,5.30,0,Not applicable,,,Not applicable,,Not under a federation,,,10079778,,Not applicable,30-06-2026,Heron Way,,,Horsham,West Sussex,RH13 6DJ,www.heronway.w-sussex.sch.uk/,01403261944,Mr,James,Crump,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000227,Horsham,E05011818,Forest,E14001294,Horsham,UN1,Urban: Nearer to a major town or city,E10000032,519265,130257,Horsham 008,Horsham 008B,,,,,,999,,,,200004783326,,0,Not applicable,0,Not applicable,,,E02006595,E01031640,22,
125888,938,West Sussex,2134,Southwater Junior School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,10,Academy Converter,30-06-2011,2,Primary,7,11,1,No boarders,No Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,480,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Worthing Road,Southwater,,Horsham,West Sussex,RH13 9JH,,,Mr,Simon A,Wood,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000227,Horsham,E05011829,Southwater South & Shipley,E14000753,Horsham,D1,(England/Wales) Rural town and fringe,E10000032,515711,126805,Horsham 009,Horsham 009D,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006596,E01031681,,
125890,938,West Sussex,2136,Southwater Infant School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,10,Academy Converter,30-06-2011,2,Primary,5,7,1,No boarders,No Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,270,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Worthing Road,Southwater,,Horsham,West Sussex,RH13 9JH,,,Mrs,S,Winn,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000227,Horsham,E05011829,Southwater South & Shipley,E14000753,Horsham,D1,(England/Wales) Rural town and fringe,E10000032,515752,126670,Horsham 009,Horsham 009D,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006596,E01031681,,
125893,938,West Sussex,2139,Seymour Primary School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,10,Academy Converter,31-08-2012,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,540,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Seymour Road,Broadfield,,Crawley,West Sussex,RH11 9ES,,,Miss,Sarah,Park,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000226,Crawley,E05012915,Broadfield,E14000652,Crawley,C1,(England/Wales) Urban city and town,E10000032,525682,134874,Crawley 012,Crawley 012E,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006586,E01031555,,
125895,938,West Sussex,2141,Southgate West First School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2004,2,Primary,5,8,1,No boarders,Not applicable,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Ditchling Hill,,,Crawley,West Sussex,RH11 8QL,,,Mrs,Marjorie,Fritz,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000226,Crawley,E05012924,Southgate,E14000652,Crawley,C1,(England/Wales) Urban city and town,E10000032,526519,135547,Crawley 007,Crawley 007A,,,,,,999,,,,10024122499,,0,Not applicable,0,Not applicable,,,E02006581,E01031596,,
125896,938,West Sussex,2142,Southgate West Middle School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2004,3,Middle deemed primary,8,12,1,No boarders,Not applicable,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Ditchling Hill,Southgate West,,Crawley,West Sussex,RH11 8QL,,,Mrs,P,Botting,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000226,Crawley,E05012924,Southgate,E14000652,Crawley,C1,(England/Wales) Urban city and town,E10000032,526519,135547,Crawley 007,Crawley 007A,,,,,,999,,,,10024122499,,0,Not applicable,0,Not applicable,,,E02006581,E01031596,,
125897,938,West Sussex,2149,Northgate First School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2004,2,Primary,3,8,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,1,Has Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Green Lane,Northgate,,Crawley,West Sussex,RH10 8DX,,,Miss,K,Scott,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000226,Crawley,E05012921,Northgate & West Green,E14000652,Crawley,C1,(England/Wales) Urban city and town,E10000032,527259,137464,Crawley 004,Crawley 004B,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006578,E01031584,,
125898,938,West Sussex,2150,Pound Hill Infant School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,10,Academy Converter,31-08-2015,2,Primary,4,7,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,270,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Crawley Lane,Pound Hill,,Crawley,West Sussex,RH10 7EB,,,,Julie,Knock-Bravery,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000226,Crawley,E05012923,Pound Hill South & Worth,E14000652,Crawley,C1,(England/Wales) Urban city and town,E10000032,529298,137214,Crawley 005,Crawley 005B,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006579,E01031591,,
125899,938,West Sussex,2151,Robert May County First School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,00,Not applicable,01-09-1997,2,Primary,5,8,1,No boarders,No Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Furnace Drive,Furnace Green,,Crawley,West Sussex,RH10 6JB,,,,,,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000226,Crawley,E05012916,Furnace Green,E14000652,Crawley,C1,(England/Wales) Urban city and town,E10000032,527816,135734,Crawley 009,Crawley 009D,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006583,E01031563,,
125900,938,West Sussex,2152,Southgate First School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2004,2,Primary,5,8,1,No boarders,Not applicable,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Barrington Road,Southgate,,Crawley,West Sussex,RH10 6DG,,,Mrs,J S,Comber,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000226,Crawley,E05012924,Southgate,E14000652,Crawley,C1,(England/Wales) Urban city and town,E10000032,526821,135568,Crawley 011,Crawley 011A,,,,,,999,,,,10024120737,,0,Not applicable,0,Not applicable,,,E02006585,E01031595,,
125901,938,West Sussex,2153,Three Bridges Primary School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,687,1,Has Special Classes,15-01-2026,600,296,304,22.40,0,Not applicable,,,Not applicable,,Not under a federation,,,10077187,,Not applicable,30-06-2026,Gales Place,Three Bridges,,Crawley,West Sussex,RH10 1QG,www.threebridgesprimaryschool.co.uk,01293524076,Mrs,Trudy,Emberson,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,"SLCN - Speech, language and Communication",,,,,,,,,,,,,Resourced provision,17,21,,,J,South East,E07000226,Crawley,E05012925,Three Bridges,E14001184,Crawley,UN1,Urban: Nearer to a major town or city,E10000032,528195,137027,Crawley 004,Crawley 004D,,,,,,999,,,,100062472535,,0,Not applicable,0,Not applicable,,,E02006578,E01031601,127,
125902,938,West Sussex,2155,Bishop Bell Middle School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,00,Not applicable,01-09-1997,3,Middle deemed primary,8,12,1,No boarders,Not applicable,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Loppets Road,Tilgate,,Crawley,West Sussex,RH10 5DP,,,,,,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000226,Crawley,E05012926,Tilgate,E14000652,Crawley,C1,(England/Wales) Urban city and town,E10000032,527768,135332,Crawley 011,Crawley 011B,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006585,E01031604,,
125903,938,West Sussex,2157,Bewbush Community Middle School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2004,3,Middle deemed primary,8,12,1,No boarders,Not applicable,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Dorsten Square,Bewbush,,Crawley,West Sussex,RH11 8XW,,,Mr,R G,Winn,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000226,Crawley,E05012914,Bewbush & North Broadfield,E14000652,Crawley,C1,(England/Wales) Urban city and town,E10000032,524605,135228,Crawley 010,Crawley 010B,,,,,,999,,,,10034135511,,0,Not applicable,0,Not applicable,,,E02006584,E01031548,,
125904,938,West Sussex,2160,Northgate Primary,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2004,3,Middle deemed primary,8,12,1,No boarders,Not applicable,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Barnfield Road,Northgate,,Crawley,West Sussex,RH10 8DP,,,Mrs,A,Wood,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000226,Crawley,E05012921,Northgate & West Green,E14000652,Crawley,C1,(England/Wales) Urban city and town,E10000032,527182,137360,Crawley 004,Crawley 004C,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006578,E01031585,,
125905,938,West Sussex,2161,"Pound Hill Junior School, Crawley",01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,7,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,360,2,No Special Classes,15-01-2026,352,161,191,13.60,0,Not applicable,,,Not applicable,,Not under a federation,,,10075077,,Not applicable,30-06-2026,Crawley Lane,Pound Hill,,Crawley,West Sussex,RH10 7EB,http://www.poundhilljunior.org.uk,01293447000,Mr,Anthony,White,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000226,Crawley,E05012923,Pound Hill South & Worth,E14001184,Crawley,UN1,Urban: Nearer to a major town or city,E10000032,529264,137160,Crawley 005,Crawley 005B,,,,,,999,,,,100062474558,,0,Not applicable,0,Not applicable,,,E02006579,E01031591,48,
125906,938,West Sussex,2163,Southgate Middle School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2004,3,Middle deemed primary,8,12,1,No boarders,Not applicable,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,1,Has Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Barrington Road,Southgate,,Crawley,West Sussex,RH10 6DG,,,Ms,K,Sibley,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000226,Crawley,E05012924,Southgate,E14000652,Crawley,C1,(England/Wales) Urban city and town,E10000032,526821,135568,Crawley 011,Crawley 011A,,,,,,999,,,,10024120737,,0,Not applicable,0,Not applicable,,,E02006585,E01031595,,
125907,938,West Sussex,2164,Three Bridges Junior School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2013,2,Primary,7,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,270,1,Has Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Gales Drive,Three Bridges,,Crawley,West Sussex,RH10 1PD,,,Mrs,Claire,Tiley,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,"SLCN - Speech, language and Communication",,,,,,,,,,,,,SEN unit,,,,,J,South East,E07000226,Crawley,E05012925,Three Bridges,E14000652,Crawley,C1,(England/Wales) Urban city and town,E10000032,527904,136888,Crawley 004,Crawley 004G,,,,,,999,,,,100062472535,,0,Not applicable,0,Not applicable,,,E02006578,E01032836,,
125916,938,West Sussex,2176,Milton Mount Primary School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,10,Academy Converter,31-08-2020,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,630,2,No Special Classes,16-01-2020,585,300,285,6.3,0,Not applicable,,,Not applicable,,Not under a federation,,,10079775,,Not applicable,31-08-2020,Grattons Drive,Pound Hill,,Crawley,West Sussex,RH10 3AG,,,Mrs,Anne,Holmes,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000226,Crawley,E05012922,Pound Hill North & Forge Wood,E14000652,Crawley,C1,(England/Wales) Urban city and town,E10000032,529088,137874,Crawley 002,Crawley 002C,,,,,,999,,,,100062473585,,0,Not applicable,0,Not applicable,,,E02006576,E01031588,37,
125918,938,West Sussex,2182,Leechpool Primary School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,420,2,No Special Classes,15-01-2026,409,220,189,9.30,0,Not applicable,,,Not applicable,,Not under a federation,,,10079774,,Not applicable,30-06-2026,Leechpool Lane,,,Horsham,West Sussex,RH13 6AG,http://www.leechpoolprimaryschool.co.uk,01403210233,Mrs,Nicola,Davenport,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000227,Horsham,E05011826,Roffey South,E14001294,Horsham,UN1,Urban: Nearer to a major town or city,E10000032,519464,131587,Horsham 001,Horsham 001A,,,,,,999,,,,200004783455,,0,Not applicable,0,Not applicable,,,E02006588,E01031670,38,
125920,938,West Sussex,2184,Broadfield East Infant School and Nursery,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,10,Academy Converter,31-08-2012,2,Primary,3,7,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,268,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Vulcan Close,Broadfield,,Crawley,West Sussex,RH11 9PD,,,Mrs,H,Tinston,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000226,Crawley,E05012915,Broadfield,E14000652,Crawley,C1,(England/Wales) Urban city and town,E10000032,526341,134780,Crawley 013,Crawley 013C,,,,,,999,,,,10034142302,,0,Not applicable,0,Not applicable,,,E02006587,E01031557,,
125923,938,West Sussex,2187,Billingshurst Infant School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2010,2,Primary,5,7,1,No boarders,No Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,270,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Upper Station Road,,,Billingshurst,West Sussex,RH14 9RE,,,Miss,N Marie,Chamberlain,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000227,Horsham,E05011812,Billingshurst,E14000753,Horsham,D1,(England/Wales) Rural town and fringe,E10000032,508597,125498,Horsham 010,Horsham 010B,,,,,,999,,,,10013791009,,0,Not applicable,0,Not applicable,,,E02006597,E01031612,,
125929,938,West Sussex,2200,Ashurst Wood Primary School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,01-01-1900,10,Academy Converter,30-06-2026,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,140,2,No Special Classes,15-01-2026,107,51,56,9.30,0,Not applicable,,,Not applicable,,Not under a federation,,,10079772,,Not applicable,30-06-2026,School Lane,Ashurst Wood,,East Grinstead,West Sussex,RH19 3QW,http://www.ashurstwoodprimary.co.uk,,Mrs,Lisa,Hobby,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,Not applicable,,,,,J,South East,E07000228,Mid Sussex,E05014709,Ashurst Wood & East Grinstead South,E14001212,East Grinstead and Uckfield,UN1,Urban: Nearer to a major town or city,E10000032,542329,136758,Mid Sussex 003,Mid Sussex 003B,,,,,,999,,,,10070634791,,0,Not applicable,0,Not applicable,,,E02006606,E01031696,10,
125930,938,West Sussex,2201,Oak Tree Primary School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,01-01-1900,06,For Academy,31-12-2024,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,630,2,No Special Classes,18-01-2024,457,233,224,16.00,0,Not applicable,,,Not applicable,,Not under a federation,,,10079771,,Not applicable,31-12-2024,Junction Road,,,Burgess Hill,West Sussex,RH15 0PZ,,,Miss,Daisy,Bailey,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000228,Mid Sussex,E05014714,Burgess Hill St Andrews,E14001366,Mid Sussex,C1,(England/Wales) Urban city and town,E10000032,532311,119967,Mid Sussex 013,Mid Sussex 013D,,,,,,999,,,,100062482689,,0,Not applicable,0,Not applicable,,,E02006616,E01031712,73,
