propertyRecordId,address,paon,saon,street,locality,town,postcode,district,propertyType,estateId,estate,estateClassification,estateType,estateRuleId,estateRegistryVersion,estateEvidenceStatus,estateReviewStatus,price,date,market,category
property:35 ONSLOW ROAD HERSHAM WALTON ON THAMES KT12 5BA|KT125BA,"35, ONSLOW ROAD, HERSHAM, WALTON-ON-THAMES, KT12 5BA",35,,ONSLOW ROAD,HERSHAM,WALTON-ON-THAMES,KT12 5BA,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:onslow-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,2300000,2023-05-04,elmbridge-prime,B
property:HAMME HOUSE KINGS MILL LANE SOUTH NUTFIELD REDHILL RH1 5NB|RH15NB,"HAMME HOUSE, KINGS MILL LANE, SOUTH NUTFIELD, REDHILL, RH1 5NB",HAMME HOUSE,,KINGS MILL LANE,SOUTH NUTFIELD,REDHILL,RH1 5NB,Tandridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2000000,2023-05-04,tandridge-oxted,A
property:BISHOPS HEATH BISHOPSGATE ROAD ENGLEFIELD GREEN EGHAM TW20 0YJ|TW200YJ,"BISHOPS HEATH, BISHOPSGATE ROAD, ENGLEFIELD GREEN, EGHAM, TW20 0YJ",BISHOPS HEATH,,BISHOPSGATE ROAD,ENGLEFIELD GREEN,EGHAM,TW20 0YJ,Runnymede,Terraced,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,16500000,2023-05-02,runnymede-wentworth,B
property:CAVENDISH HOUSE SYDENHAM ROAD GUILDFORD GU1 3RX|GU13RX,"CAVENDISH HOUSE, SYDENHAM ROAD, GUILDFORD, GU1 3RX",CAVENDISH HOUSE,,SYDENHAM ROAD,,GUILDFORD,GU1 3RX,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2040000,2023-05-02,guildford-district,B
property:7 BLANFORD ROAD REIGATE RH2 7DP|RH27DP,"7, BLANFORD ROAD, REIGATE, RH2 7DP",7,,BLANFORD ROAD,,REIGATE,RH2 7DP,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2590000,2023-04-28,reigate-banstead,A
property:8 HEATHFIELD COBHAM KT11 2QY|KT112QY,"8, HEATHFIELD, COBHAM, KT11 2QY",8,,HEATHFIELD,,COBHAM,KT11 2QY,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2550000,2023-04-28,elmbridge-prime,A
property:WHITE OAKS THE GLADE KINGSWOOD TADWORTH KT20 6JE|KT206JE,"WHITE OAKS, THE GLADE, KINGSWOOD, TADWORTH, KT20 6JE",WHITE OAKS,,THE GLADE,KINGSWOOD,TADWORTH,KT20 6JE,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2455000,2023-04-28,reigate-banstead,A
property:SANDPIPERS THE WARREN ASHTEAD KT21 2SL|KT212SL,"SANDPIPERS, THE WARREN, ASHTEAD, KT21 2SL",SANDPIPERS,,THE WARREN,,ASHTEAD,KT21 2SL,Mole Valley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2360000,2023-04-28,mole-valley,B
property:GENISTA OLD REIGATE ROAD BETCHWORTH RH3 7DE|RH37DE,"GENISTA, OLD REIGATE ROAD, BETCHWORTH, RH3 7DE",GENISTA,,OLD REIGATE ROAD,,BETCHWORTH,RH3 7DE,Mole Valley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2250000,2023-04-28,mole-valley,A
property:25 BLACKHILLS ESHER KT10 9JP|KT109JP,"25, BLACKHILLS, ESHER, KT10 9JP",25,,BLACKHILLS,,ESHER,KT10 9JP,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2125000,2023-04-28,elmbridge-prime,B
