id,propertyRecordId,address,paon,saon,street,locality,town,postcode,district,propertyType,estateId,estate,estateClassification,estateType,estateRuleId,estateRegistryVersion,estateEvidenceStatus,estateReviewStatus,price,date,market,category
lr-fd67864276194e7f2dcb,property:WARWICK HEIGHTS WARWICKS BENCH LANE GUILDFORD GU1 3TP|GU13TP,"WARWICK HEIGHTS, WARWICKS BENCH LANE, GUILDFORD, GU1 3TP",WARWICK HEIGHTS,,WARWICKS BENCH LANE,,GUILDFORD,GU1 3TP,Guildford,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,3000000,2009-07-31,guildford-district,A
lr-ffc531251a3e04360ffe,property:135 SILVERDALE AVENUE WALTON ON THAMES KT12 1EJ|KT121EJ,"135, SILVERDALE AVENUE, WALTON-ON-THAMES, KT12 1EJ",135,,SILVERDALE AVENUE,,WALTON-ON-THAMES,KT12 1EJ,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,3000000,2009-07-31,elmbridge-prime,A
lr-9ff3840838c4eb8bcc09,property:GROVE HOUSE 5 MONTROSE GARDENS OXSHOTT LEATHERHEAD KT22 0UU|KT220UU,"GROVE HOUSE, 5, MONTROSE GARDENS, OXSHOTT, LEATHERHEAD, KT22 0UU","GROVE HOUSE, 5",,MONTROSE GARDENS,OXSHOTT,LEATHERHEAD,KT22 0UU,Elmbridge,Detached,crown-estate-oxshott,"Crown Estate, Oxshott",A,traditional_private_estate,pe:crown-estate-oxshott:montrose-gardens:whole,surrey-private-estates-2026-07-22-corrected-6,verified_multi_source,partial_ready,2500000,2009-07-30,elmbridge-prime,A
lr-95b43a3ce1edc9440f86,property:THE OLD RECTORY SHACKLEFORD ROAD SHACKLEFORD GODALMING GU8 6AE|GU86AE,"THE OLD RECTORY, SHACKLEFORD ROAD, SHACKLEFORD, GODALMING, GU8 6AE",THE OLD RECTORY,,SHACKLEFORD ROAD,SHACKLEFORD,GODALMING,GU8 6AE,Guildford,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2225000,2009-07-23,guildford-district,A
lr-52cd88f343d01f34af83,property:APPLE ACRE PYLE HILL WOKING GU22 0SR|GU220SR,"APPLE ACRE, PYLE HILL, WOKING, GU22 0SR",APPLE ACRE,,PYLE HILL,,WOKING,GU22 0SR,Woking,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2000000,2009-07-17,woking-district,A
lr-70c1b0099a54c94781d3,property:HOME FARM HOUSE THE STREET SHACKLEFORD GODALMING GU8 6AH|GU86AH,"HOME FARM HOUSE, THE STREET, SHACKLEFORD, GODALMING, GU8 6AH",HOME FARM HOUSE,,THE STREET,SHACKLEFORD,GODALMING,GU8 6AH,Guildford,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2057000,2009-07-15,guildford-district,A
lr-829cf2be07dd185a0660,property:MORNINGSIDE 6 CLAREMONT PARK ROAD ESHER KT10 9LT|KT109LT,"MORNINGSIDE, 6, CLAREMONT PARK ROAD, ESHER, KT10 9LT","MORNINGSIDE, 6",,CLAREMONT PARK ROAD,,ESHER,KT10 9LT,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,3700000,2009-07-10,elmbridge-prime,A
lr-2152401474a10aae0f6b,property:17 BADGERS HILL VIRGINIA WATER GU25 4SA|GU254SA,"17, BADGERS HILL, VIRGINIA WATER, GU25 4SA",17,,BADGERS HILL,,VIRGINIA WATER,GU25 4SA,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:badgers-hill:whole,surrey-private-estates-2026-07-22-corrected-6,verified,partial_ready,3150000,2009-07-08,runnymede-wentworth,A
lr-da87b42e95811037b2bc,property:HIGHFIELD WOODLANDS ROAD EAST VIRGINIA WATER GU25 4PH|GU254PH,"HIGHFIELD, WOODLANDS ROAD EAST, VIRGINIA WATER, GU25 4PH",HIGHFIELD,,WOODLANDS ROAD EAST,,VIRGINIA WATER,GU25 4PH,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:woodlands-road-east:whole,surrey-private-estates-2026-07-22-corrected-6,verified,partial_ready,6000000,2009-07-03,runnymede-wentworth,A
lr-17cd025f5148bb224ef1,property:HOLMWOOD PARK VIEW ROAD WOLDINGHAM CATERHAM CR3 7DN|CR37DN,"HOLMWOOD, PARK VIEW ROAD, WOLDINGHAM, CATERHAM, CR3 7DN",HOLMWOOD,,PARK VIEW ROAD,WOLDINGHAM,CATERHAM,CR3 7DN,Tandridge,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2575000,2009-07-03,tandridge-oxted,A
